 sa3_code16, sa3_name16,female_divorced,female_separated,male_divorced,male_separated
20101,Ballarat,2011,1103,1260,764
20102,Creswick - Daylesford - Ballan,486,195,360,160
20103,Maryborough - Pyrenees,441,228,341,200
20201,Bendigo,1880,997,1147,718
20202,Heathcote - Castlemaine - Kyneton,757,379,550,292
20203,Loddon - Elmore,155,67,152,87
20301,Barwon - West,273,154,201,135
20302,Geelong,3513,1871,2326,1355
20303,Surf Coast - Bellarine Peninsula,1127,580,697,427
20401,Upper Goulburn Valley,923,522,716,391
20402,Wangaratta - Benalla,849,449,579,344
20403,Wodonga - Alpine,1358,645,936,512
20501,Baw Baw,830,501,587,343
20502,Gippsland - East,745,467,486,305
20503,Gippsland - South West,1046,506,763,407
20504,Latrobe Valley,1432,867,1046,636
20505,Wellington,717,419,500,340
20601,Brunswick - Coburg,1303,489,958,429
20602,Darebin - South,818,347,525,252
20603,Essendon,1193,539,731,411
20604,Melbourne City,1935,745,1393,688
20605,Port Phillip,2363,745,1661,646
20701,Boroondara,1991,855,1183,594
20702,Manningham - West,1216,536,683,357
20703,Whitehorse - West,1373,581,827,412
20801,Bayside,1417,588,785,367
20902,Darebin - North,1631,732,1152,583
20903,Nillumbik - Kinglake,938,445,549,343
20606,Stonnington - West,1034,398,715,330
20607,Yarra,1596,646,1178,511
20904,Whittlesea - Wallan,3942,2364,2483,1563
21001,Keilor,990,456,633,338
21002,Macedon Ranges,494,245,321,170
20802,Glen Eira,2244,937,1316,622
20803,Kingston,2253,990,1418,754
20804,Stonnington - East,507,194,275,140
20901,Banyule,1899,884,1181,675
21003,Moreland - North,1298,684,865,488
21004,Sunbury,789,417,535,289
21005,Tullamarine - Broadmeadows,2849,1983,1838,1298
21101,Knox,2766,1264,1586,910
21102,Manningham - East,293,135,186,95
21103,Maroondah,2049,976,1282,678
21104,Whitehorse - East,876,334,532,270
21105,Yarra Ranges,2812,1423,1898,1010
21201,Cardinia,1842,1053,1253,741
21202,Casey - North,2265,1187,1453,826
21203,Casey - South,2894,1641,1884,1179
21204,Dandenong,3542,1655,2352,1238
21205,Monash,2220,920,1344,698
21301,Brimbank,3925,2197,2570,1552
21302,Hobsons Bay,1586,769,1100,567
21303,Maribyrnong,1645,741,1119,586
21304,Melton - Bacchus Marsh,2900,1808,1851,1244
21305,Wyndham,3618,2381,2477,1673
21401,Frankston,3080,1471,2062,1083
21402,Mornington Peninsula,2904,1425,1865,995
21501,Grampians,904,516,679,451
21502,Mildura,954,577,693,412
21503,Murray River - Swan Hill,486,318,403,250
21601,Campaspe,624,366,479,259
21602,Moira,439,262,333,196
21603,Shepparton,1119,726,788,515
21701,Glenelg - Southern Grampians,583,270,388,247
21703,Colac - Corangamite,553,307,414,248
21704,Warrnambool,834,486,581,316
